,Cluster_pred
19127FL-02-35,0
19127FL-02-20,0
19127FL-02-04,0
19127FL-02-53,0
19127FL-02-74,0
19127FL-02-40,1
19127FL-02-64,0
19127FL-02-07,0
19127FL-02-85,1
19127FL-02-14,0
19127FL-02-65,1
19127FL-02-02,0
19127FL-02-67,0
19127FL-02-78,0
19127FL-02-56,0
19127FL-02-57,0
19127FL-02-82,1
19127FL-02-71,0
19127FL-02-54,0
19127FL-02-52,0
19127FL-02-55,0
19127FL-02-01,0
19127FL-02-46,0
19127FL-02-13,0
19127FL-02-86,0
19127FL-02-73,0
19127FL-02-38,0
19127FL-02-44,0
19127FL-02-66,0
19127FL-02-10,0
19127FL-02-08,0
19127FL-02-49,0
19127FL-02-37,0
19127FL-02-24,0
19127FL-02-48,0
19127FL-02-22,0
19127FL-02-69,0
19127FL-02-79,0
19127FL-02-87,1
19127FL-02-21,0
19127FL-02-06,0
19127FL-02-50,0
19127FL-02-77,1
19127FL-02-18,0
19127FL-02-90,0
19127FL-02-68,0
19127FL-02-51,0
19127FL-02-28,0
19127FL-02-36,0
19127FL-02-03,0
19127FL-02-17,0
19127FL-02-25,0
19127FL-02-27,1
19127FL-02-30,0
19127FL-02-39,0
19127FL-02-31,0
19127FL-02-09,1
19127FL-02-76,0
19127FL-02-43,0
19127FL-02-34,0
19127FL-02-16,0
19127FL-02-41,0
19127FL-02-19,0
19127FL-02-23,0
19127FL-02-59,1
19127FL-02-88,0
19127FL-02-33,0
19127FL-02-89,0
19127FL-02-45,1
19127FL-02-83,0
19127FL-02-60,0
19127FL-02-42,1
19127FL-02-15,0
19127FL-02-11,0
19127FL-02-61,0
19127FL-02-62,0
19127FL-02-75,1
19127FL-02-26,0
19127FL-02-58,0
19127FL-02-05,0
19127FL-02-32,0
19127FL-02-80,0
